suite,source,grid,dgp,n_train,method,metric,target_aggregation,n_seeds,seed_min,seed_max,mean,se,mean_se
abstract,merged_phase6,main,D8,1000,cwdb_dr,mean_quantile_rmse,single reported value within seed,10,0,9,0.06350027875,0.002022397222,0.0635(0.0020)
abstract,merged_phase6,main,D8,1000,cwdb_dr,reference_effect_rmse,single reported value within seed,10,0,9,0.03774117157,0.009787099253,0.0377(0.0098)
abstract,merged_phase6,main,D8,1000,cwdb_dr,reference_tcate_rmse,single reported value within seed,10,0,9,0.07930511311,0.01165365732,0.0793(0.0117)
abstract,merged_phase6,main,D8,1000,cwdb_dr,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.023373316,0.004434176271,0.0234(0.0044)
abstract,merged_phase6,main,D8,1000,cwdb_dr,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.06723570103,0.007038005146,0.0672(0.0070)
abstract,merged_original_drf,main,D8,1000,drf,kernel_law_error,mean over two arms within seed,10,0,9,0.04155850791,0.0008312682951,0.0416(0.0008)
abstract,merged_original_drf,main,D8,1000,drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.1622871569,0.00557037138,0.1623(0.0056)
abstract,merged_original_drf,main,D8,1000,drf,reference_effect_rmse,single reported value within seed,10,0,9,0.04458825344,0.01129926283,0.0446(0.0113)
abstract,merged_original_drf,main,D8,1000,drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.07241409278,0.008085757752,0.0724(0.0081)
abstract,merged_original_drf,main,D8,1000,drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.02573088045,0.003308477016,0.0257(0.0033)
abstract,merged_original_drf,main,D8,1000,drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.05093793251,0.003917199589,0.0509(0.0039)
income,merged_phase6,income,IC0,500,causal_drf,kernel_law_error,mean over two arms within seed,10,0,9,0.06509473596,0.001778639288,0.0651(0.0018)
income,merged_phase6,income,IC0,500,causal_drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.2322523178,0.01165969071,0.2323(0.0117)
income,merged_phase6,income,IC0,500,causal_drf,reference_effect_rmse,single reported value within seed,10,0,9,0.1868678578,0.01090279824,0.1869(0.0109)
income,merged_phase6,income,IC0,500,causal_drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.1870141219,0.01084419885,0.1870(0.0108)
income,merged_phase6,income,IC0,500,causal_drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.1371363796,0.006497995219,0.1371(0.0065)
income,merged_phase6,income,IC0,500,causal_drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.1374082768,0.006446410843,0.1374(0.0064)
income,merged_phase6,income,IC0,500,cwdb_dr,kernel_law_error,mean over two arms within seed,10,0,9,0.02053048672,0.0006072000461,0.0205(0.0006)
income,merged_phase6,income,IC0,500,cwdb_dr,mean_quantile_rmse,single reported value within seed,10,0,9,0.05030893533,0.01491399033,0.0503(0.0149)
income,merged_phase6,income,IC0,500,cwdb_dr,reference_effect_rmse,single reported value within seed,10,0,9,0.0244966634,0.00422160692,0.0245(0.0042)
income,merged_phase6,income,IC0,500,cwdb_dr,reference_tcate_rmse,single reported value within seed,10,0,9,0.04957234744,0.004257997252,0.0496(0.0043)
income,merged_phase6,income,IC0,500,cwdb_dr,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.01426684206,0.002366951704,0.0143(0.0024)
income,merged_phase6,income,IC0,500,cwdb_dr,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.03835977413,0.002860418492,0.0384(0.0029)
income,merged_phase6,income,IC0,500,drf,kernel_law_error,mean over two arms within seed,10,0,9,0.09051853442,0.00210162996,0.0905(0.0021)
income,merged_phase6,income,IC0,500,drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.2339022405,0.01015140393,0.2339(0.0102)
income,merged_phase6,income,IC0,500,drf,reference_effect_rmse,single reported value within seed,10,0,9,0.1857462358,0.0099862519,0.1857(0.0100)
income,merged_phase6,income,IC0,500,drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.1857799535,0.009961613343,0.1858(0.0100)
income,merged_phase6,income,IC0,500,drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.1355935697,0.005825924601,0.1356(0.0058)
income,merged_phase6,income,IC0,500,drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.1356229643,0.005810344144,0.1356(0.0058)
income,merged_phase6,income,IC1,500,causal_drf,kernel_law_error,mean over two arms within seed,10,0,9,0.06266446419,0.002324441986,0.0627(0.0023)
income,merged_phase6,income,IC1,500,causal_drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.2108867482,0.01142952814,0.2109(0.0114)
income,merged_phase6,income,IC1,500,causal_drf,reference_effect_rmse,single reported value within seed,10,0,9,0.1563124693,0.01015234915,0.1563(0.0102)
income,merged_phase6,income,IC1,500,causal_drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.1565996763,0.01008854745,0.1566(0.0101)
income,merged_phase6,income,IC1,500,causal_drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.1157154248,0.006090965158,0.1157(0.0061)
income,merged_phase6,income,IC1,500,causal_drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.1161527096,0.006058278641,0.1162(0.0061)
income,merged_phase6,income,IC1,500,cwdb_dr,kernel_law_error,mean over two arms within seed,10,0,9,0.02362001569,0.001025064339,0.0236(0.0010)
income,merged_phase6,income,IC1,500,cwdb_dr,mean_quantile_rmse,single reported value within seed,10,0,9,0.1427128033,0.01156986256,0.1427(0.0116)
income,merged_phase6,income,IC1,500,cwdb_dr,reference_effect_rmse,single reported value within seed,10,0,9,0.02935318922,0.005889472085,0.0294(0.0059)
income,merged_phase6,income,IC1,500,cwdb_dr,reference_tcate_rmse,single reported value within seed,10,0,9,0.05218328613,0.005065840262,0.0522(0.0051)
income,merged_phase6,income,IC1,500,cwdb_dr,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.01750773411,0.002229877274,0.0175(0.0022)
income,merged_phase6,income,IC1,500,cwdb_dr,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.04437913263,0.002540567994,0.0444(0.0025)
income,merged_phase6,income,IC1,500,drf,kernel_law_error,mean over two arms within seed,10,0,9,0.08208719394,0.002194220482,0.0821(0.0022)
income,merged_phase6,income,IC1,500,drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.2194033244,0.0101322255,0.2194(0.0101)
income,merged_phase6,income,IC1,500,drf,reference_effect_rmse,single reported value within seed,10,0,9,0.1610778545,0.00975255092,0.1611(0.0098)
income,merged_phase6,income,IC1,500,drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.1611894923,0.009728736126,0.1612(0.0097)
income,merged_phase6,income,IC1,500,drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.1188183564,0.005635559141,0.1188(0.0056)
income,merged_phase6,income,IC1,500,drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.118921931,0.005618108333,0.1189(0.0056)
income,merged_phase6,income,IC2,500,causal_drf,kernel_law_error,mean over two arms within seed,10,0,9,0.06846182108,0.001606927053,0.0685(0.0016)
income,merged_phase6,income,IC2,500,causal_drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.232828856,0.01149478125,0.2328(0.0115)
income,merged_phase6,income,IC2,500,causal_drf,reference_effect_rmse,single reported value within seed,10,0,9,0.1860240233,0.01067732815,0.1860(0.0107)
income,merged_phase6,income,IC2,500,causal_drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.1862421595,0.01061824444,0.1862(0.0106)
income,merged_phase6,income,IC2,500,causal_drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.1419757797,0.00607474158,0.1420(0.0061)
