dgp,n_train,n_grid,n_particles,metric,target_id,functional,mean,mc_se,n_seeds,primary_mean,absolute_delta,relative_delta,paired_delta,paired_mc_se,n_pairs,evaluated
IC1,1000,25,25,reference_tcate_rmse,REF-TCATE-K,,0.02805222488235957,0.003132636775669796,10,0.030854929704266947,0.002802704821907375,0.09083491191748809,0.002802704821907378,0.0013643497927910777,10,True
IC1,1000,25,5,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.016956817048205605,0.0028504258645255668,10,0.014806210235166168,0.002150606813039437,0.14525032259311974,-0.002150606813039438,0.0021263978985174114,10,True
IC1,1000,25,10,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.014806210235166168,0.0030159028817328373,10,0.014806210235166168,0.0,0.0,0.0,0.0,10,True
IC1,1000,25,25,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.01485477330816678,0.0036952192319126397,10,0.014806210235166168,4.856307300061223e-05,0.0032799124306144376,-4.8563073000612576e-05,0.0017618003437187698,10,True
IC1,1000,25,5,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.008769919001049746,0.002124576521134966,10,0.011780950752556009,0.0030110317515062626,0.25558478383868855,0.0030110317515062634,0.002988951458925869,10,True
IC1,1000,25,10,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.011780950752556009,0.0023835067776536933,10,0.011780950752556009,0.0,0.0,0.0,0.0,10,True
IC1,1000,25,25,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.009394568873473414,0.0022091697730075343,10,0.011780950752556009,0.002386381879082595,0.20256275823620115,0.002386381879082595,0.0017254744611676389,10,True
IC1,1000,25,5,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.00784103081221485,0.002488417048922979,10,0.004292975108281377,0.0035480557039334728,0.8264794494356804,-0.0035480557039334728,0.002282200769955696,10,True
IC1,1000,25,10,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.004292975108281377,0.0009260399341485332,10,0.004292975108281377,0.0,0.0,0.0,0.0,10,True
IC1,1000,25,25,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.004923316440854452,0.0011328849680758697,10,0.004292975108281377,0.0006303413325730754,0.1468308845670019,-0.0006303413325730756,0.0011678801012272655,10,True
IC1,1000,25,5,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.01770596632010598,0.002555937080275355,10,0.01916717545129136,0.00146120913118538,0.07623497446969596,0.0014612091311853787,0.002189508361704737,10,True
IC1,1000,25,10,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.01916717545129136,0.002892848478485955,10,0.01916717545129136,0.0,0.0,0.0,0.0,10,True
IC1,1000,25,25,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.01779207534890813,0.0033282194410587914,10,0.01916717545129136,0.001375100102383231,0.07174244874408899,0.001375100102383231,0.002358114505052519,10,True
IC1,1000,25,5,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.03551320240687308,0.003945329147851288,10,0.034841354883703386,0.0006718475231696913,0.019283048130942223,-0.0006718475231696976,0.002165153270586827,10,True
IC1,1000,25,10,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.034841354883703386,0.00391436537006207,10,0.034841354883703386,0.0,0.0,0.0,0.0,10,True
IC1,1000,25,25,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.03177707668518367,0.004417209297437051,10,0.034841354883703386,0.003064278198519718,0.08794945571858333,0.0030642781985197173,0.0021584975587485193,10,True
IC1,1000,25,5,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.019087279163691843,0.0021421233710127332,10,0.02117887451681896,0.002091595353127116,0.09875856960510813,0.002091595353127118,0.0022675511364940505,10,True
IC1,1000,25,10,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.02117887451681896,0.0025179941704433556,10,0.02117887451681896,0.0,0.0,0.0,0.0,10,True
IC1,1000,25,25,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.02057220363573093,0.002150504375388779,10,0.02117887451681896,0.000606670881088029,0.028645095404208017,0.0006066708810880305,0.0012133807909513743,10,True
IC1,1000,25,5,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.014247711625467818,0.0023203781237238624,10,0.009865285086822419,0.004382426538645399,0.444227054776069,-0.004382426538645398,0.0019094878392020163,10,True
IC1,1000,25,10,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.009865285086822419,0.001028089195334101,10,0.009865285086822419,0.0,0.0,0.0,0.0,10,True
IC1,1000,25,25,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.010698927874776235,0.001258375921108618,10,0.009865285086822419,0.0008336427879538158,0.08450265558644184,-0.0008336427879538151,0.0013828080206160355,10,True
IC1,1000,25,5,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.03956165868754676,0.003388519678916867,10,0.038157084380445114,0.0014045743071016484,0.03681031530337443,-0.0014045743071016456,0.002928456110813305,10,True
IC1,1000,25,10,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.038157084380445114,0.003979836173543192,10,0.038157084380445114,0.0,0.0,0.0,0.0,10,True
IC1,1000,25,25,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.03640880112010335,0.00440796327340397,10,0.038157084380445114,0.0017482832603417653,0.04581805158147073,0.0017482832603417718,0.0021476032192390467,10,True
IC2,1000,25,5,kernel_law_error,LAW-A-K,,0.016686984901922938,0.0006064863297644337,10,0.017209337899652913,0.0005223529977299753,0.030352881718971325,0.0005223529977299732,0.0007078665273755186,10,True
IC2,1000,25,10,kernel_law_error,LAW-A-K,,0.017209337899652913,0.000639277075877611,10,0.017209337899652913,0.0,0.0,0.0,0.0,10,True
IC2,1000,25,25,kernel_law_error,LAW-A-K,,0.017370093984959135,0.0008354098066335894,10,0.017209337899652913,0.0001607560853062219,0.009341212674397201,-0.00016075608530622242,0.0007327293640880206,10,True
IC2,1000,25,5,mean_quantile_rmse,MEANQ-A-K,,0.06997629044961673,0.0033526495861528976,10,0.08228057024762818,0.01230427979801145,0.1495405265299086,0.012304279798011455,0.007060093236964176,10,True
IC2,1000,25,10,mean_quantile_rmse,MEANQ-A-K,,0.08228057024762818,0.008736228526136557,10,0.08228057024762818,0.0,0.0,0.0,0.0,10,True
IC2,1000,25,25,mean_quantile_rmse,MEANQ-A-K,,0.07396794896771831,0.007776235500156137,10,0.08228057024762818,0.008312621279909865,0.10102775485017358,0.008312621279909874,0.011201467445793045,10,True
IC2,1000,25,5,reference_effect_rmse,REF-ATE-K,,0.014261981543949382,0.0032736150726020625,10,0.01585821061602632,0.0015962290720769393,0.1006563168270567,0.0015962290720769406,0.002392693673962959,10,True
IC2,1000,25,10,reference_effect_rmse,REF-ATE-K,,0.01585821061602632,0.003534514352147471,10,0.01585821061602632,0.0,0.0,0.0,0.0,10,True
IC2,1000,25,25,reference_effect_rmse,REF-ATE-K,,0.017060916053656457,0.0037735238161136432,10,0.01585821061602632,0.0012027054376301353,0.07584118200666853,-0.001202705437630136,0.002472031773597736,10,True
IC2,1000,25,5,reference_tcate_rmse,REF-TCATE-K,,0.03298178730038544,0.003547794326892774,10,0.030996427185799556,0.001985360114585881,0.06405125670404482,-0.0019853601145858857,0.0018143756252982683,10,True
IC2,1000,25,10,reference_tcate_rmse,REF-TCATE-K,,0.030996427185799556,0.0034745894509930733,10,0.030996427185799556,0.0,0.0,0.0,0.0,10,True
IC2,1000,25,25,reference_tcate_rmse,REF-TCATE-K,,0.03390411449956213,0.003819369750312562,10,0.030996427185799556,0.0029076873137625706,0.09380717643143963,-0.0029076873137625697,0.0020536210686146646,10,True
