grid,dgp,n_train,n_grid,n_particles,method,metric,comparison,native_target_id,common_target_id,n_pairs,native_mean,common_mean,paired_delta,paired_mc_se,p_value
wcf_sensitivity_v1_confirm,IC2,1000,49,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,20,0.03110210021038204,0.03297766380417681,-0.0018755635937947694,0.0006572143768841577,0.0043198641431886065
wcf_sensitivity_v1_confirm,IC2,1000,49,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,20,0.016342704333975187,0.03438509863427615,-0.01804239430030096,0.0002466657036897496,0.0
wcf_sensitivity_v1_confirm,IC3,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,20,0.06427586122933406,0.06778487698874829,-0.0035090157594142406,0.001008115314029232,0.0004999779223990991
wcf_sensitivity_v1_confirm,IC3,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,20,0.06427586122933406,0.06793411445184436,-0.003658253222510315,0.0012764141501908906,0.004156425352653257
wcf_sensitivity_v1_confirm,IC3,1000,25,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,20,0.019109640644888144,0.06299656900677318,-0.043886928361885055,0.0004911058204030379,0.0
wcf_sensitivity_v1_confirm,IC3,1000,49,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,20,0.06545478779306832,0.06800206679720557,-0.002547279004137222,0.0006584887502987884,0.00010956472560934185
wcf_sensitivity_v1_confirm,IC3,1000,49,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,20,0.06545478779306832,0.06847107290599061,-0.003016285112922283,0.0013420541835823714,0.024607218441590605
wcf_sensitivity_v1_confirm,IC3,1000,49,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,20,0.01831233673937071,0.03604427818577097,-0.017731941446400258,0.00022227070099605764,0.0
wcf_sensitivity_v1_flex,SYM-MU,500,25,10,cwdb_dr_flex,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.15238914262855846,0.1519119017015211,0.0004772409270373659,0.00028305671887254847,0.09179083275320409
wcf_sensitivity_v1_flex,SYM-MU,500,25,10,cwdb_dr_flex,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.15238914262855846,0.15565214792432716,-0.0032630052957686867,0.0010936650533917816,0.0028492469001486966
