grid,dgp,metric,method,mean,standard_error,n,merged_checksum,git_revision
main,D2,mean_quantile_rmse,cwdb_v0,0.3076824111095956,0.005581198133804777,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,mean_quantile_rmse,wdrft,0.09758249282782955,0.003453892623546696,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,mean_quantile_rmse,causal_drf,0.10981166948431804,0.004798155101063371,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,mean_quantile_rmse,pta_s,0.054504210911322,0.0029540049117271136,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,kernel_law_error,cwdb_v1,0.01268259548385775,0.00046275846394861533,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,kernel_law_error,cwdb_v0,0.01738659295724379,0.0005920650326702239,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,kernel_law_error,wdrft,0.012463029732515894,0.00027431301195979073,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,kernel_law_error,causal_drf,0.03442343594360364,0.0007291224258218468,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,arm_energy_risk,cwdb_v1,0.058469296988103034,0.0019383073774072478,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,arm_energy_risk,cwdb_v0,0.07807895664134765,0.002168563212666195,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
