year,state_fips,k,u_k,earnwke_q
2010,28,5,0.18,300.0
2010,28,6,0.22,320.0
2010,28,7,0.26,350.0
2010,28,8,0.3,384.61
2010,28,9,0.34,411.58921411234144
2010,28,10,0.38,450.0
2010,28,11,0.42,480.76
2010,28,12,0.46,519.23
2010,28,13,0.5,560.0
2010,28,14,0.54,600.0
2010,28,15,0.58,628.137295661047
2010,28,16,0.62,680.0
2010,28,17,0.66,730.76
2010,28,18,0.7,800.0
2010,28,19,0.74,865.38
2010,28,20,0.78,958.767379624131
2010,28,21,0.82,1057.0
2010,28,22,0.86,1200.0
2010,28,23,0.9,1358.0243595946938
2010,28,24,0.94,1633.9068770041526
2010,28,25,0.98,2498.0731271649524
2010,29,1,0.02,87.0
2010,29,2,0.06,159.66163967733107
2010,29,3,0.1,222.73388473501134
2010,29,4,0.14,267.6478396018011
2010,29,5,0.18,300.0
2010,29,6,0.22,345.92758376107855
2010,29,7,0.26,380.0
2010,29,8,0.3,415.38
2010,29,9,0.34,456.4466085603913
2010,29,10,0.38,488.04322039525067
2010,29,11,0.42,519.23
2010,29,12,0.46,560.0
2010,29,13,0.5,600.0
2010,29,14,0.54,673.0
2010,29,15,0.58,720.0
2010,29,16,0.62,769.23
2010,29,17,0.66,825.4685752055797
2010,29,18,0.7,900.0
2010,29,19,0.74,961.53
2010,29,20,0.78,1050.0
2010,29,21,0.82,1153.84
2010,29,22,0.86,1300.0
2010,29,23,0.9,1500.0
2010,29,24,0.94,1779.0802134939822
2010,29,25,0.98,2500.0
2010,30,1,0.02,76.85439394916723
2010,30,2,0.06,148.31879531352808
2010,30,3,0.1,200.0
2010,30,4,0.14,250.0
2010,30,5,0.18,292.0159448082554
2010,30,6,0.22,340.0
2010,30,7,0.26,360.0
2010,30,8,0.3,396.0
2010,30,9,0.34,418.4921713025556
2010,30,10,0.38,444.56718039282293
2010,30,11,0.42,480.0
2010,30,12,0.46,500.0
2010,30,13,0.5,550.0
2010,30,14,0.54,580.0
2010,30,15,0.58,635.4092057811281
2010,30,16,0.62,681.870828672306
2010,30,17,0.66,720.0
2010,30,18,0.7,780.0
2010,30,19,0.74,840.933048627283
2010,30,20,0.78,920.0
2010,30,21,0.82,969.5278317325185
2010,30,22,0.86,1100.0
2010,30,23,0.9,1269.9320114429906
2010,30,24,0.94,1508.003187367741
2010,30,25,0.98,1985.5756086596484
2010,31,1,0.02,72.21432240958895
2010,31,2,0.06,150.0
2010,31,3,0.1,200.0
2010,31,4,0.14,275.0
2010,31,5,0.18,320.0
2010,31,6,0.22,360.97514774443596
2010,31,7,0.26,400.0
2010,31,8,0.3,429.967167724215
2010,31,9,0.34,468.0
2010,31,10,0.38,494.0
2010,31,11,0.42,520.0
2010,31,12,0.46,560.0
2010,31,13,0.5,600.0
2010,31,14,0.54,640.0
2010,31,15,0.58,692.0
2010,31,16,0.62,730.76
2010,31,17,0.66,773.5335126743456
2010,31,18,0.7,859.7649332656407
2010,31,19,0.74,923.07
2010,31,20,0.78,970.8502957563504
2010,31,21,0.82,1072.185890475113
2010,31,22,0.86,1200.0
2010,31,23,0.9,1384.61
2010,31,24,0.94,1634.61
2010,31,25,0.98,2307.69
2010,32,1,0.02,100.33193921881342
2010,32,2,0.06,176.30718339364574
2010,32,3,0.1,239.98114108299163
2010,32,4,0.14,288.46
2010,32,5,0.18,330.0
2010,32,6,0.22,364.1440436959367
2010,32,7,0.26,400.0
2010,32,8,0.3,430.0
2010,32,9,0.34,463.22838332289814
2010,32,10,0.38,500.0
2010,32,11,0.42,540.0
2010,32,12,0.46,576.843613428763
2010,32,13,0.5,600.0
2010,32,14,0.54,640.0
2010,32,15,0.58,690.0
2010,32,16,0.62,735.183882835185
2010,32,17,0.66,774.0
2010,32,18,0.7,846.0704859991904
2010,32,19,0.74,923.07
2010,32,20,0.78,1000.0
2010,32,21,0.82,1100.0
2010,32,22,0.86,1250.0
2010,32,23,0.9,1442.180838093273
2010,32,24,0.94,1730.0
2010,32,25,0.98,2307.69
2010,33,1,0.02,75.0
2010,33,2,0.06,150.0
2010,33,3,0.1,216.0
2010,33,4,0.14,289.94418973422836
2010,33,5,0.18,340.48193351883924
2010,33,6,0.22,400.0
2010,33,7,0.26,444.0
2010,33,8,0.3,494.7242641603011
2010,33,9,0.34,538.46
2010,33,10,0.38,580.0
2010,33,11,0.42,634.0
2010,33,12,0.46,680.0
2010,33,13,0.5,734.4766917826618
2010,33,14,0.54,794.2876399228368
2010,33,15,0.58,846.0
2010,33,16,0.62,903.84
2010,33,17,0.66,966.6095600260492
2010,33,18,0.7,1050.0
2010,33,19,0.74,1153.0
2010,33,20,0.78,1230.0112433882266
2010,33,21,0.82,1346.15
2010,33,22,0.86,1500.0
2010,33,23,0.9,1700.0
2010,33,24,0.94,1923.07
2010,33,25,0.98,2884.0
2010,34,1,0.02,85.0
2010,34,2,0.06,171.13967404859457
2010,34,3,0.1,250.0
2010,34,4,0.14,300.2009985833716
2010,34,5,0.18,358.6800754129
2010,34,6,0.22,400.0
2010,34,7,0.26,440.0
2010,34,8,0.3,490.62722733936414
2010,34,9,0.34,538.46
2010,34,10,0.38,580.0
2010,34,11,0.42,634.61
2010,34,12,0.46,700.0
2010,34,13,0.5,769.23
2010,34,14,0.54,865.0
2010,34,15,0.58,923.07
2010,34,16,0.62,1000.0
2010,34,17,0.66,1076.92
2010,34,18,0.7,1175.0
2010,34,19,0.74,1300.818633247691
2010,34,20,0.78,1442.0
2010,34,21,0.82,1600.0
2010,34,22,0.86,1806.698753149414
2010,34,23,0.9,2038.558440811817
2010,34,24,0.94,2500.0
2010,34,25,0.98,2884.61
2010,35,1,0.02,80.0
2010,35,2,0.06,153.26482387929576
2010,35,3,0.1,214.52981620438663
2010,35,4,0.14,264.0
2010,35,5,0.18,303.976688670779
2010,35,6,0.22,346.04476233235204
2010,35,7,0.26,369.22313243209186
2010,35,8,0.3,400.0
2010,35,9,0.34,424.0034042357694
2010,35,10,0.38,480.0
2010,35,11,0.42,500.0
2010,35,12,0.46,550.0
2010,35,13,0.5,592.2749011043214
2010,35,14,0.54,640.3598755868278
2010,35,15,0.58,692.3
2010,35,16,0.62,769.0
2010,35,17,0.66,807.69
2010,35,18,0.7,903.0
2010,35,19,0.74,1000.0
2010,35,20,0.78,1088.3123252911628
2010,35,21,0.82,1192.230787187071
2010,35,22,0.86,1346.0
2010,35,23,0.9,1538.46
2010,35,24,0.94,1923.07
2010,35,25,0.98,2500.0
2010,36,1,0.02,96.0
2010,36,2,0.06,167.38729608163865
2010,36,3,0.1,231.61379762947521
2010,36,4,0.14,300.0
2010,36,5,0.18,333.7502989164129
2010,36,6,0.22,384.0
2010,36,7,0.26,400.0
2010,36,8,0.3,450.1556335746223
2010,36,9,0.34,500.0
2010,36,10,0.38,550.0
2010,36,11,0.42,600.0
2010,36,12,0.46,640.0
2010,36,13,0.5,692.3
2010,36,14,0.54,760.0
2010,36,15,0.58,804.0337133984725
2010,36,16,0.62,865.38
2010,36,17,0.66,961.0
2010,36,18,0.7,1019.23
2010,36,19,0.74,1125.0
2010,36,20,0.78,1230.76
2010,36,21,0.82,1346.15
2010,36,22,0.86,1520.0
2010,36,23,0.9,1730.76
2010,36,24,0.94,2115.0
2010,36,25,0.98,2884.61
2010,37,1,0.02,96.11514050686519
2010,37,2,0.06,180.0
2010,37,3,0.1,232.25855960677612
2010,37,4,0.14,280.0
2010,37,5,0.18,315.0
2010,37,6,0.22,350.0
2010,37,7,0.26,384.0
2010,37,8,0.3,402.2114602077446
2010,37,9,0.34,448.77427649333214
2010,37,10,0.38,480.0
2010,37,11,0.42,516.6116514119572
2010,37,12,0.46,568.9538414913025
2010,37,13,0.5,600.0
2010,37,14,0.54,640.0
2010,37,15,0.58,692.3
2010,37,16,0.62,750.0
2010,37,17,0.66,807.69
