paper_dgp,dgp,n_train,n_grid,n_particles,method,metric,target_id,mean,mc_sd,n_replications,mc_se
LS0,IC0,500,25,10,causal_drf,tail_calibration,LAW-A-K,0.0002325403440769972,0.0009144071201090338,20,0.00020446764796736144
LS0,IC0,500,25,10,causal_drf,tate_functional_rmse,TATE-K-grid_mean,0.2259474573748017,0.0375401734066264,10,0.011871245172262176
LS0,IC0,500,25,10,causal_drf,tate_functional_rmse,TATE-K-grid_sd,0.007758799563650859,0.005645889564901731,10,0.0017853870442866512
LS0,IC0,500,25,10,causal_drf,tate_functional_rmse,TATE-K-grid_skewness,0.08319573674181381,0.010569388754240136,10,0.0033423341939168476
LS0,IC0,500,25,10,causal_drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,0.23168884116819574,0.038685981988106834,10,0.012233581660266654
LS0,IC0,500,25,10,causal_drf,tcate_functional_rmse,TCATE-K-grid_mean,0.2260840212819578,0.03732020232842992,10,0.011801684209615786
LS0,IC0,500,25,10,causal_drf,tcate_functional_rmse,TCATE-K-grid_sd,0.008543739089347982,0.005288799314464078,10,0.0016724651921243593
LS0,IC0,500,25,10,causal_drf,tcate_functional_rmse,TCATE-K-grid_skewness,0.0831943996513573,0.010560095376383373,10,0.003339395369798453
LS0,IC0,500,25,10,causal_drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,0.23183806880663216,0.03844747590227692,10,0.012158159413563241
LS0,IC0,500,25,10,cwdb_dr,arm_energy_risk,LAW-A-M-K,0.056352251979367315,0.004615111598794295,20,0.001031970325865178
LS0,IC0,500,25,10,cwdb_dr,barycenter_rmse,MEANQ-A-K,0.16746198733715884,0.010293083650784164,20,0.0023016034741245098
LS0,IC0,500,25,10,cwdb_dr,diagnostic_dense_dr_n_levels,NONE_OPERATIONAL,199.0,0.0,10,0.0
LS0,IC0,500,25,10,cwdb_dr,diagnostic_dr_if_se_reference,NONE_OPERATIONAL,0.023025185540282836,0.0015088513612156193,10,0.00047714069520868026
LS0,IC0,500,25,10,cwdb_dr,diagnostic_effective_support,NONE_OPERATIONAL,9.999999999999998,0.0,10,0.0
LS0,IC0,500,25,10,cwdb_dr,diagnostic_ehat_mean,NONE_OPERATIONAL,0.4874494415505565,0.022709929075001266,10,0.007181510137788485
LS0,IC0,500,25,10,cwdb_dr,diagnostic_n_boosting_steps,NONE_OPERATIONAL,100.0,0.0,10,0.0
LS0,IC0,500,25,10,cwdb_dr,diagnostic_selected_contrast_shrinkage,NONE_OPERATIONAL,160.0,235.4664401659915,10,74.46102634562892
LS0,IC0,500,25,10,cwdb_dr,diagnostic_train_risk,NONE_OPERATIONAL,0.04190958309465521,0.0064145975745565475,10,0.0020284738608990437
LS0,IC0,500,25,10,cwdb_dr,kernel_law_error,LAW-A-K,0.0207579501256833,0.0031035175415878137,20,0.0006939676192353382
LS0,IC0,500,25,10,cwdb_dr,mean_quantile_rmse,MEANQ-A-K,0.09450254659763238,0.06655243413061256,10,0.021045727568106364
LS0,IC0,500,25,10,cwdb_dr,mode_coverage,LAW-A-K,1.0,0.0,20,0.0
LS0,IC0,500,25,10,cwdb_dr,peak_ram,NONE_OPERATIONAL,0.0,0.0,10,0.0
LS0,IC0,500,25,10,cwdb_dr,process_peak_ram,NONE_OPERATIONAL,754.803515625,186.5784126558589,10,59.00127462112998
LS0,IC0,500,25,10,cwdb_dr,reference_effect_rmse,REF-ATE-K,0.02099382278154989,0.011515712365669104,10,0.003641587995488016
LS0,IC0,500,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE-K,0.04366602645513962,0.018675337261007886,10,0.0059056601816595364
LS0,IC0,500,25,10,cwdb_dr,runtime,NONE_OPERATIONAL,131.4286239901,24.526356803840176,10,7.755915020610252
LS0,IC0,500,25,10,cwdb_dr,tail_calibration,LAW-A-K,2.9344056335406597e-05,1.4404177339702884e-05,20,3.2208719691537727e-06
LS0,IC0,500,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_mean,0.014912965667196543,0.011224442763339117,10,0.0035494804598345917
LS0,IC0,500,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_sd,0.013543067997623299,0.01364123274508903,10,0.004313736556695241
LS0,IC0,500,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_skewness,0.004577985132038174,0.003535927145036074,10,0.0011181583418730535
LS0,IC0,500,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_upper_tail_mean,0.015970143092918082,0.009671729956621836,10,0.003058469557700652
LS0,IC0,500,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_mean,0.044926222854558384,0.01990539145934734,10,0.006294637472880054
LS0,IC0,500,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_sd,0.03416056633042498,0.010964498352465667,10,0.0034672788194955177
LS0,IC0,500,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_skewness,0.017302587708678072,0.00934909485400255,10,0.0029564433799607417
LS0,IC0,500,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,0.0534044713739001,0.017800843197520996,10,0.005629120877568091
LS0,IC0,500,25,10,drf,arm_energy_risk,LAW-A-M-K,0.12233848181565458,0.011039666475050577,20,0.0024685444687138577
LS0,IC0,500,25,10,drf,barycenter_rmse,MEANQ-A-K,0.3814783697281766,0.017753430697450244,20,0.003969787787333025
LS0,IC0,500,25,10,drf,diagnostic_effective_support,NONE_OPERATIONAL,173.63875910099813,3.153179472604127,10,0.9971229004717543
LS0,IC0,500,25,10,drf,kernel_law_error,LAW-A-K,0.0905185344154227,0.008692967397348315,20,0.0019438066026660258
LS0,IC0,500,25,10,drf,mean_quantile_rmse,MEANQ-A-K,0.23390224047666558,0.032101557882334104,10,0.010151403934790727
LS0,IC0,500,25,10,drf,mode_coverage,LAW-A-K,1.0,0.0,20,0.0
LS0,IC0,500,25,10,drf,peak_ram,NONE_OPERATIONAL,430.71999999999997,14.383076475110904,10,4.5483281421736566
LS0,IC0,500,25,10,drf,process_peak_ram,NONE_OPERATIONAL,758.723828125,182.9349024047326,10,57.84909551395686
LS0,IC0,500,25,10,drf,reference_effect_rmse,REF-ATE-K,0.1857462358146838,0.0315793012907878,10,0.009986251899558473
LS0,IC0,500,25,10,drf,reference_tcate_rmse,REF-TCATE-K,0.18577995351315252,0.03150138733316893,10,0.009961613342799125
LS0,IC0,500,25,10,drf,runtime,NONE_OPERATIONAL,14.618799999999998,2.561231726251171,10,0.8099325870438572
LS0,IC0,500,25,10,drf,tail_calibration,LAW-A-K,0.0002271176184767154,0.0008901585795454844,20,0.0001990455094618357
LS0,IC0,500,25,10,drf,tate_functional_rmse,TATE-K-grid_mean,0.22413465126214738,0.03344434509569013,10,0.010576030535506278
LS0,IC0,500,25,10,drf,tate_functional_rmse,TATE-K-grid_sd,0.008352063488328069,0.005100967955224831,10,0.001613067701004226
LS0,IC0,500,25,10,drf,tate_functional_rmse,TATE-K-grid_skewness,0.08061126021880803,0.010565159865671173,10,0.0033409969019319503
LS0,IC0,500,25,10,drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,0.22927630396011786,0.03410231752265656,10,0.010784099686186549
LS0,IC0,500,25,10,drf,tcate_functional_rmse,TCATE-K-grid_mean,0.22416282573107246,0.03335193604627271,10,0.010546808228249268
LS0,IC0,500,25,10,drf,tcate_functional_rmse,TCATE-K-grid_sd,0.008408843844596548,0.005045226256688003,10,0.0015954406282019408
LS0,IC0,500,25,10,drf,tcate_functional_rmse,TCATE-K-grid_skewness,0.08061465322031533,0.010547443841905004,10,0.0033353946033136735
LS0,IC0,500,25,10,drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,0.22930553427597383,0.03400697075790761,10,0.010753948391773056
