run,seed,n,treated,shrinkage,functional,dr,if_se,plugin
lo_state_TX,0,850,117,50.0,skew,0.005807132185583536,0.015975627818288398,0.003118630480282971
lo_state_TX,0,850,117,50.0,tail,0.4195872966617007,0.1958320669830129,0.08215746791512166
lo_state_TX,0,850,117,50.0,reference,0.10039722572213172,0.13837707146920056,0.0026940584723966505
lo_state_TX,0,850,117,50.0,p10,0.19662508730500283,0.04065394763724939,0.09535674841904695
lo_state_TX,0,850,117,50.0,p90,0.39087953831314726,0.28123002869432395,0.033245591774382174
lo_state_TX,0,850,117,50.0,ref_us2016,-0.2205072641958969,0.1431966283354834,-0.03966891455908169
lo_state_TX,0,850,117,50.0,ref_mean_norm,3.847427756985649e-05,0.0034211164250145328,-0.0017229574698226606
placebo_primary_seed0,0,867,117,50.0,mean,-0.11839224303870477,0.13743381062258336,0.009196667349064703
placebo_primary_seed0,0,867,117,50.0,sd,-0.19396663681641427,0.1256877663230691,-0.04490911784297599
placebo_primary_seed0,0,867,117,50.0,skew,-0.016110539955566223,0.01717799035715803,-0.011408950796846399
placebo_primary_seed0,0,867,117,50.0,tail,-0.2277202497463873,0.22457166358622602,-0.0037737634809236462
placebo_primary_seed0,0,867,117,50.0,reference,-0.2599990131108001,0.1551911851943543,-0.05992925890413623
placebo_primary_seed0,0,867,117,50.0,p10,0.038240072006390194,0.04336618161942072,0.040954034398198925
placebo_primary_seed0,0,867,117,50.0,p90,-0.48896871902365713,0.3366665277270831,-0.06297308979629439
placebo_primary_seed0,0,867,117,50.0,ref_us2016,-0.03400649209518162,0.13096944375041134,-0.011975086725547108
placebo_primary_seed0,0,867,117,50.0,ref_mean_norm,-0.006547440957177223,0.003341601776209299,-0.00264037960730839
placebo_primary_seed1,1,867,117,500.0,mean,0.09396343820061831,0.1170088510687756,0.006480819492918285
placebo_primary_seed1,1,867,117,500.0,sd,0.14963807617081473,0.125612219441458,0.00447939086177713
placebo_primary_seed1,1,867,117,500.0,skew,0.02089156991234128,0.018603106307165797,0.0029796772742577264
placebo_primary_seed1,1,867,117,500.0,tail,0.16451495432663624,0.1994978006118038,0.005194234522979283
placebo_primary_seed1,1,867,117,500.0,reference,0.10694688981714182,0.15108390404711058,0.0031608684383818944
placebo_primary_seed1,1,867,117,500.0,p10,0.011394759185660738,0.047412393345385544,0.003842534993953295
placebo_primary_seed1,1,867,117,500.0,p90,0.19908187158088436,0.34025937421391517,-0.009978965261198914
placebo_primary_seed1,1,867,117,500.0,ref_us2016,-0.1168662488699489,0.11836046397424647,-0.006474419400410226
placebo_primary_seed1,1,867,117,500.0,ref_mean_norm,0.0036235130936056415,0.0033802456542475225,6.417665013245347e-06
placebo_primary_seed2,2,867,117,500.0,mean,-0.045936265707149274,0.18805024873620757,-0.006660446330477899
placebo_primary_seed2,2,867,117,500.0,sd,-0.06880337669511886,0.1442541340746215,-0.0034884838789498514
placebo_primary_seed2,2,867,117,500.0,skew,-0.026146910870690918,0.020915764640125397,-0.0010611112599553166
placebo_primary_seed2,2,867,117,500.0,tail,-0.046625249599590385,0.2903487720818986,-0.006213120161305625
placebo_primary_seed2,2,867,117,500.0,reference,-0.026290957270453573,0.2066470931498833,-0.0037632133941282618
placebo_primary_seed2,2,867,117,500.0,p10,-0.03526422703464641,0.054782131562260764,-0.005161463573080743
placebo_primary_seed2,2,867,117,500.0,p90,-0.12587592272340944,0.42070722906659347,-0.015698285742457553
placebo_primary_seed2,2,867,117,500.0,ref_us2016,0.07246971550716406,0.1639865172241255,0.005968346026896964
placebo_primary_seed2,2,867,117,500.0,ref_mean_norm,-0.0008419719621539786,0.0036936205178144037,-5.984837149914159e-05
